[2019-05-12 21:31:51]: Path: save/1557667911/ is created
[2019-05-12 21:32:09]: Start train process.
[2019-05-12 22:14:46]: | epoch   6 |  2400/ 3494 batches | rec loss 0.4386 | dis loss 0.1652 |
[2019-05-12 22:15:12]: | epoch   6 |  2600/ 3494 batches | rec loss 0.4132 | dis loss 0.1931 |
[2019-05-12 22:15:38]: | epoch   6 |  2800/ 3494 batches | rec loss 0.4278 | dis loss 0.2080 |
[2019-05-12 22:16:12]: | epoch   6 |  3000/ 3494 batches | rec loss 0.3987 | dis loss 0.1675 |
[2019-05-12 22:16:46]: | epoch   6 |  3200/ 3494 batches | rec loss 0.3921 | dis loss 0.0899 |
[2019-05-12 22:17:21]: | epoch   6 |  3400/ 3494 batches | rec loss 0.3326 | dis loss 0.0826 |
[2019-05-12 22:17:37]: | end of epoch   6 | time: 550.17s |
[2019-05-12 22:17:37]: | epoch   7 |     0/ 3494 batches | rec loss 0.3710 | dis loss 0.1898 |
[2019-05-12 22:18:12]: | epoch   7 |   200/ 3494 batches | rec loss 0.3084 | dis loss 0.1618 |
[2019-05-12 22:18:46]: | epoch   7 |   400/ 3494 batches | rec loss 0.3709 | dis loss 0.2028 |
[2019-05-12 22:19:20]: | epoch   7 |   600/ 3494 batches | rec loss 0.3510 | dis loss 0.1554 |
[2019-05-12 22:19:54]: | epoch   7 |   800/ 3494 batches | rec loss 0.4101 | dis loss 0.2775 |
[2019-05-12 22:20:29]: | epoch   7 |  1000/ 3494 batches | rec loss 0.3889 | dis loss 0.1671 |
[2019-05-12 22:21:03]: | epoch   7 |  1200/ 3494 batches | rec loss 0.3834 | dis loss 0.1496 |
[2019-05-12 22:21:38]: | epoch   7 |  1400/ 3494 batches | rec loss 0.3369 | dis loss 0.1376 |
[2019-05-12 22:22:12]: | epoch   7 |  1600/ 3494 batches | rec loss 0.3328 | dis loss 0.1560 |
[2019-05-12 22:22:46]: | epoch   7 |  1800/ 3494 batches | rec loss 0.3399 | dis loss 0.1660 |
[2019-05-12 22:23:20]: | epoch   7 |  2000/ 3494 batches | rec loss 0.3668 | dis loss 0.1732 |
[2019-05-12 22:23:55]: | epoch   7 |  2200/ 3494 batches | rec loss 0.3625 | dis loss 0.1824 |
[2019-05-12 22:24:29]: | epoch   7 |  2400/ 3494 batches | rec loss 0.3881 | dis loss 0.1419 |
[2019-05-12 22:25:03]: | epoch   7 |  2600/ 3494 batches | rec loss 0.3860 | dis loss 0.1685 |
[2019-05-12 22:25:37]: | epoch   7 |  2800/ 3494 batches | rec loss 0.4367 | dis loss 0.1764 |
[2019-05-12 22:26:11]: | epoch   7 |  3000/ 3494 batches | rec loss 0.3876 | dis loss 0.1525 |
[2019-05-12 22:26:46]: | epoch   7 |  3200/ 3494 batches | rec loss 0.3539 | dis loss 0.0975 |
[2019-05-12 22:27:20]: | epoch   7 |  3400/ 3494 batches | rec loss 0.3483 | dis loss 0.0547 |
[2019-05-12 22:27:36]: | end of epoch   7 | time: 599.27s |
[2019-05-12 22:27:37]: | epoch   8 |     0/ 3494 batches | rec loss 0.3772 | dis loss 0.1760 |
[2019-05-12 22:28:11]: | epoch   8 |   200/ 3494 batches | rec loss 0.2915 | dis loss 0.1566 |
[2019-05-12 22:28:45]: | epoch   8 |   400/ 3494 batches | rec loss 0.3386 | dis loss 0.1944 |
[2019-05-12 22:29:19]: | epoch   8 |   600/ 3494 batches | rec loss 0.3290 | dis loss 0.1330 |
